  data : 1 5 22 24 28 32 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 5 22 24 29 32 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 5 22 24 30 32 , kpi : 5, rept: 1 2 3 5, cover: 22 30 32 33
  data : 1 6 11 23 24 28 , kpi : 5, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 6 11 23 24 29 , kpi : 5, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 6 11 23 24 30 , kpi : 6, rept: 1 2 4 5, cover: 22 30 32 33
  data : 1 6 11 23 24 31 , kpi : 5, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 6 11 24 27 30 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 6 11 24 28 30 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 6 11 24 29 30 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 6 11 24 30 31 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 6 12 20 24 28 , kpi : 5, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 6 12 20 24 29 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 6 12 20 24 30 , kpi : 5, rept: 1 2 4 6, cover: 22 30 32 33
  data : 1 6 12 20 24 31 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 6 12 21 24 28 , kpi : 6, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 6 12 21 24 29 , kpi : 6, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 6 12 21 24 30 , kpi : 6, rept: 1 2 4 5, cover: 22 30 32 33
  data : 1 6 12 21 24 31 , kpi : 6, rept: 1 2 4 4, cover: 23 30 32 33
  data : 1 6 13 20 24 28 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 6 13 20 24 29 , kpi : 6, rept: 1 2 3 5, cover: 23 30 32 33
  data : 1 6 13 20 24 30 , kpi : 6, rept: 1 2 3 6, cover: 22 30 32 33
  data : 1 6 13 21 24 28 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 6 13 21 24 29 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 6 13 21 24 31 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 6 14 20 24 28 , kpi : 5, rept: 1 2 4 6, cover: 23 30 32 33
  data : 1 6 14 20 24 29 , kpi : 6, rept: 1 2 4 6, cover: 23 30 32 33
  data : 1 6 14 20 24 31 , kpi : 6, rept: 1 2 4 6, cover: 23 30 32 33
  data : 1 6 14 21 24 28 , kpi : 5, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 6 14 21 24 29 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 6 14 21 24 30 , kpi : 6, rept: 1 2 4 6, cover: 22 30 32 33
  data : 1 6 14 21 24 31 , kpi : 6, rept: 1 2 4 5, cover: 23 30 32 33
  data : 1 6 17 20 24 32 , kpi : 6, rept: 1 2 3 4, cover: 23 30 32 33
  data : 1 6 17 21 24 32 , kpi : 6, rept: 1 2 3 3, cover: 23 30 32 33
  data : 1 6 18 20 24 32 , kpi : 5, rept: 1 2 3 4, cover: 23 30 32 33
